customerid,if_score,ae_mse,spend_sum,tx_count,basket_size_mean,recency_days
17381,0.7151681385937182,0.5751340979314737,40002.37,38,4.578947368421052,8.035416666666666
13027,0.706992789270586,0.8149223147684722,17335.2,19,4.526315789473684,113.13263888888889
17404,0.7064011122526649,0.5142567863269333,47781.12,23,12.695652173913043,3.85
17389,0.7047268342158877,0.8212281170386054,57224.68,61,7.065573770491803,0.13333333333333333
12921,0.7018558196683548,0.39340564440697984,35921.04,74,20.72972972972973,8.852777777777778
14277,0.7008183551017084,3.578222782280509,17225.81,9,42.44444444444444,14.909027777777778
12471,0.6969088371823096,0.31916663781216953,39963.79,79,14.39240506329114,1.8798611111111112
17448,0.6922935182131886,0.7125952715705509,14556.97,46,24.282608695652176,496.94652777777776
13881,0.6915330902390547,0.5494059507531657,45179.1,43,10.627906976744185,3.0
17677,0.6893704218753516,0.5289935734660725,36692.91,54,13.185185185185185,1.1208333333333333
12971,0.6866415338881089,0.4576880005787629,15972.79,116,3.663793103448276,3.0208333333333335
17675,0.6838032574891211,0.33083412629909864,38259.6,70,16.114285714285714,0.7826388888888889
13767,0.6836792910638186,0.3314335193309439,35540.53,73,10.89041095890411,1.9097222222222223
14088,0.6817956086445728,1.6469881139376483,64036.8,16,42.625,9.856944444444444
16779,0.6806334962381658,0.47374737026013064,33268.24,53,19.88679245283019,1.913888888888889
16705,0.680296475362516,0.5979652458534167,43515.051,42,16.452380952380953,0.029166666666666667
16333,0.6795726218023067,0.42598288717478355,26626.8,22,2.0454545454545454,7.021527777777778
15856,0.6756260366867091,0.5078246896405644,34220.340000000004,52,22.326923076923077,3.8201388888888888
15749,0.6747511569511557,0.7938942404811812,44534.3,3,3.3333333333333335,234.97916666666666
16553,0.6718290025681923,0.33865847930440723,16644.01,33,8.878787878787879,162.88055555555556
15808,0.6696801966776919,0.19916692476304199,18409.93,21,40.857142857142854,305.92847222222224
12678,0.6688462821755276,0.6117560741021378,34281.18,21,17.904761904761905,41.99027777777778
18251,0.6681717702696673,0.5469721531870352,26278.86,9,12.0,86.90763888888888
13802,0.6663440797360698,0.3463896905660695,26259.11,19,23.57894736842105,138.08055555555555
12681,0.6646278622813435,0.4253707992974327,30868.28,45,32.55555555555556,14.053472222222222
14527,0.6642002719515798,0.582182983118053,27792.3,122,22.139344262295083,2.0215277777777776
17428,0.6565187232219601,0.49890823776655796,31819.760000000002,45,16.2,0.1284722222222222
17857,0.6541022477673811,0.39950177104759255,28682.24,24,2.5,3.984027777777778
14031,0.6530984899119072,0.6604147957942669,40999.17,44,17.75,6.817361111111111
17920,0.6522159416035485,0.23491544985637283,24516.46,54,33.388888888888886,3.93125
13564,0.6512313424477656,0.28579667421624455,17249.55,37,34.351351351351354,143.9284722222222
12433,0.6503125729561521,0.48192244797969197,20581.26,10,70.6,0.11666666666666667
18052,0.6482032668963258,0.38478899873974254,10877.18,1,16.0,564.06875
14063,0.6477513217181767,0.2952947479323253,22710.2,9,4.444444444444445,437.85555555555555
13078,0.646776340589847,0.33291442864756465,29532.45,57,14.052631578947368,2.8847222222222224
16133,0.6462858625759023,0.32499099967865136,22992.260000000002,56,9.714285714285714,3.0597222222222222
16525,0.6449013637143705,0.3911414802518421,24582.64,48,7.583333333333333,1.9048611111111111
16843,0.6442097514414299,0.4612190990614849,19571.43,35,17.02857142857143,42.15555555555556
17865,0.6438507143778675,0.38908831971290964,26374.39,46,22.130434782608695,30.029166666666665
14667,0.6410037184983991,0.27458864456055176,21927.14,54,25.22222222222222,10.055555555555555
16210,0.6402293630249494,0.6796447371602733,38489.51,35,8.028571428571428,1.0097222222222222
13098,0.6372971146291843,0.5193025811210893,28882.44,28,20.428571428571427,0.9416666666666667
16549,0.6370396583448084,0.18369006988330597,13182.19,34,95.58823529411765,9.905555555555555
12901,0.6369956345480491,0.5105494585018722,17654.54,28,4.142857142857143,8.113194444444444
14769,0.636828831912872,0.16894726828476778,15771.88,17,83.88235294117646,2.1013888888888888
14258,0.6365506260436412,0.514226392969286,32051.34,25,12.0,8.890972222222222
15523,0.6349629294004071,0.2627440506765838,17359.99,16,13.375,83.84791666666666
14028,0.6341891815452674,0.1598433972334529,10396.5,3,3.0,549.9701388888889
12835,0.6318089736653743,0.5154671343196748,6043.31,41,15.121951219512194,427.07708333333335
13199,0.6312308906097143,0.25326992254487674,16432.89,67,3.08955223880597,3.013888888888889
17589,0.6310546671193227,0.09772034315630623,14049.87,18,74.61111111111111,59.827777777777776
17377,0.6308695344861297,0.3675804787977075,18319.41,78,22.76923076923077,23.064583333333335
12709,0.6287185488828575,0.5236369471030761,31093.34,34,14.705882352941176,14.883333333333333
12939,0.6283378017667008,0.24763655960884193,25264.8,20,4.3,63.928472222222226
14081,0.6274978091675583,0.0533804435185525,5370.1,10,94.2,301.85625
13206,0.6259702299049142,0.08966405748082368,8377.32,13,44.69230769230769,399.8333333333333
15005,0.6240048036558076,0.2367520960066517,14106.2,56,43.82142857142857,15.01736111111111
12409,0.6238648252127467,0.3788668034447946,23419.29,7,37.714285714285715,78.09166666666667
12357,0.6236539398780458,0.17142310220832255,18287.66,3,98.66666666666667,32.863194444444446
15513,0.6226578772705754,0.35742167946371967,27750.55,35,16.057142857142857,32.92638888888889
14607,0.622549427733126,0.3788932037385528,24137.63,22,9.5,15.09375
14134,0.6214399737808438,0.05967414526027353,11123.35,15,12.0,382.01666666666665
12682,0.620886851179767,0.24817057666302444,24033.91,52,19.98076923076923,3.1180555555555554
15498,0.6197645552883616,0.30753633641357603,26039.58,44,22.068181818181817,2.001388888888889
15768,0.6190697603770683,0.2227866541617195,15601.09,34,36.411764705882355,115.08472222222223
15413,0.6188454871888673,0.043390508595476746,6798.72,5,5.0,691.0534722222222
17243,0.6183741435353857,0.20715348136881417,20889.86,69,16.434782608695652,0.975
12621,0.6179097732333529,0.36422092432152137,24775.81,35,22.0,1.0590277777777777
16984,0.6170068598710016,0.05052628173801682,10754.8,9,125.88888888888889,87.96319444444444
16656,0.6162539568139436,0.32064695861221815,16833.170000000002,30,4.7,21.92152777777778
13319,0.6159369056009851,0.232343099045775,22082.5,58,16.46551724137931,4.969444444444444
18008,0.6159071461181113,0.12693393564145167,19787.13,23,4.434782608695652,69.89791666666666
15615,0.614163676532268,0.2807426807777298,21373.97,47,19.170212765957448,9.922222222222222
17340,0.613561895604891,0.26196535656640596,22404.82,18,43.166666666666664,29.086805555555557
15032,0.6134290380292479,0.09072253123712544,13780.65,8,15.625,255.9076388888889
13001,0.6105411950836509,0.29675453439487914,24172.100000000002,33,31.09090909090909,3.9159722222222224
15358,0.6091451512622985,0.3039309580442482,17050.41,42,26.904761904761905,4.156944444444444
16839,0.6079697356123623,0.2852310938691847,22310.49,44,8.068181818181818,8.157638888888888
12688,0.6070621062635442,0.03202764677742114,4873.8099999999995,1,171.0,113.1673611111111
12472,0.6067849835459165,0.19856426062740487,17880.59,19,47.94736842105263,31.950694444444444
14160,0.6048905142439033,0.061404482450119036,8421.47,7,15.285714285714286,609.9305555555555
13715,0.6042094478136242,0.05073289244966372,8483.29,17,31.41176470588235,280.7284722222222
14062,0.6035461077726347,0.38410552677314574,25604.2,24,14.291666666666666,9.115277777777777
14828,0.6026788756729287,0.06687753001982949,9839.460000000001,13,7.769230769230769,196.10694444444445
15159,0.6017544966973972,0.3124740346788802,22116.73,34,23.823529411764707,1.03125
13952,0.6014110002960176,0.061821709651054955,12823.521,14,29.214285714285715,217.15972222222223
13316,0.6011152882960299,0.3872336342072722,13191.57,10,17.5,36.96527777777778
12731,0.6007345565076434,0.3313396956246396,25775.71,17,23.11764705882353,23.035416666666666
13468,0.6003022117377155,0.23400727644918942,13390.51,72,10.11111111111111,1.0909722222222222
15760,0.600105179242778,0.14690667948260724,13916.34,2,1.0,630.0451388888889
16467,0.6001005786942908,0.10719611717842875,2869.16,7,3.4285714285714284,508.0423611111111
16180,0.5999583805062945,0.12768273732574825,16249.87,13,25.153846153846153,99.84861111111111
14159,0.5997644028786333,0.05396479886211896,7938.01,20,93.7,19.009722222222223
14895,0.5993355117852243,0.30119946412083226,25119.54,38,23.68421052631579,7.14375
15078,0.5983076486523428,0.19456713394425043,17761.88,53,14.962264150943396,6.88125
18172,0.5965833686825587,0.18166678118350923,17479.84,52,9.153846153846153,14.068055555555556
18087,0.5965758521925638,0.06196502083298409,14761.519999999999,17,5.176470588235294,97.90138888888889
14952,0.5963627744209198,0.11449761243083005,17629.35,32,9.59375,59.09513888888889
15640,0.5955608433216381,0.315168506667818,23957.58,29,26.379310344827587,3.9270833333333335
13069,0.5954251845439026,0.30540756700563615,9683.13,38,29.36842105263158,0.17430555555555555
14049,0.5951847793847437,0.08948997968640972,13239.03,13,83.15384615384616,16.020833333333332
12378,0.595176903838655,0.03483643172878459,5416.32,2,150.5,129.09444444444443
15786,0.5925371384909388,0.05754588768320837,8514.82,5,93.2,45.94236111111111
13082,0.5919211584214874,0.04218827612918652,7335.75,21,6.142857142857143,125.85694444444445
14091,0.5911824027340618,0.08180209231256416,9530.08,2,6.5,653.8979166666667
15998,0.590345634270066,0.02490375884492139,8308.34,16,89.75,36.00347222222222
12980,0.5887991524088209,0.10042307249254172,16245.78,21,2.4761904761904763,157.13611111111112
17230,0.5885274123873513,0.04103153078572911,9924.95,18,12.38888888888889,263.8597222222222
12511,0.5875555481198468,0.06831977884105472,3084.02,1,190.0,428.0909722222222
15189,0.586460420049508,0.16038922026833546,17524.38,46,5.239130434782608,0.9777777777777777
14505,0.586339161568243,0.05287500838873985,12001.84,19,84.63157894736842,16.87847222222222
16168,0.5858515537686518,0.2336493378313453,10636.47,66,4.681818181818182,10.003472222222221
16019,0.5849871224297027,0.10033371255541075,17465.85,27,15.0,46.04097222222222
15369,0.5848188695939092,0.02652028577799234,6251.26,11,5.363636363636363,491.9555555555556
12753,0.584422139518299,0.3340194189608175,21429.39,6,32.833333333333336,22.081944444444446
14849,0.5840010073593233,0.24314282069667337,15763.45,43,17.558139534883722,21.07777777777778
14016,0.5833522254007332,0.05348004385484456,11403.41,11,40.72727272727273,161.05625
15719,0.5826253260312688,0.15758830844121965,10223.06,31,57.41935483870968,32.014583333333334
12540,0.5822628305972173,0.27065734686520765,22254.49,33,23.363636363636363,19.054861111111112
14648,0.5820763760426579,0.040263999484611394,4546.86,15,30.333333333333332,415.9847222222222
13422,0.5819811180993717,0.01558151670817491,2626.3,1,127.0,63.96388888888889
17085,0.581571514694281,0.14343532193637246,7891.41,28,35.607142857142854,122.94097222222223
17504,0.5810761287683551,0.0366014885379406,9565.12,18,19.22222222222222,205.99375
12911,0.5807617357789111,0.14154512588477516,1680.47,1,248.0,551.0256944444444
16746,0.5795190312997118,0.22858242087574235,18066.4,42,23.547619047619047,4.011805555555555
18260,0.5794991483884047,0.059666732586048245,9962.11,23,17.869565217391305,172.0090277777778
13869,0.5793685527399232,0.03421801396993176,8111.57,10,86.0,122.95625
15251,0.5790152392916113,0.2722185101825982,20324.54,21,10.952380952380953,8.908333333333333
12755,0.5788035936592472,0.026500969398899055,9030.66,11,5.818181818181818,280.00555555555553
15581,0.578477914113431,0.18659421414161148,7794.59,38,18.86842105263158,120.13333333333334
17961,0.5781847184974009,0.8480917468129286,2995.54,100,6.6,20.82986111111111
17735,0.5774789594621831,0.19950727781976962,17244.93,26,34.46153846153846,1.8354166666666667
17581,0.5773751438814908,0.19743184336354713,18757.75,43,19.767441860465116,0.02013888888888889
12744,0.5772062532192695,0.3196532306816144,25317.06,11,30.818181818181817,51.06388888888889
12501,0.5769456182859567,0.02756919181697866,2169.39,1,149.0,336.0152777777778
15004,0.5766715676758689,0.024114736201327553,1246.32,1,158.0,146.94791666666666
17107,0.576315641177354,0.11444491555489143,16075.42,10,67.4,32.94166666666667
16550,0.5756958652747306,0.05698798186490286,9435.13,18,45.166666666666664,108.06805555555556
16713,0.5749809599716968,0.16224183232867326,14560.69,32,41.75,18.009722222222223
12714,0.574474555014315,0.11363083275325464,14093.71,12,58.0,8.879861111111111
12918,0.5737810623370381,0.09873557515396923,10953.5,1,1.0,625.8944444444444
16938,0.5736348918791897,0.020660664867480555,7043.18,9,92.88888888888889,8.104166666666666
16800,0.5732203016618326,0.019061193850187286,1201.49,1,164.0,10.947222222222223
17139,0.5730587379097406,0.19347560246559226,19584.46,25,32.36,15.109722222222222
16072,0.5729327617185203,0.06982654181561021,4328.89,4,139.0,287.9291666666667
12867,0.5723266244946273,0.05157561489622658,7913.29,13,81.76923076923077,25.88888888888889
14382,0.5718071459718725,0.020519751474617907,1246.8,2,151.0,25.855555555555554
13340,0.5712538966453905,0.23097578932986654,22100.56,12,17.916666666666668,44.982638888888886
16652,0.5711859553201811,0.09476332965319266,17550.39,16,17.1875,58.13333333333333
13451,0.5708088228097681,0.019365190122810735,7190.92,11,94.72727272727273,25.869444444444444
17338,0.5704790983093211,0.04787025010504459,12142.57,17,80.11764705882354,16.935416666666665
14286,0.5702769511178896,0.09736857650153345,8479.76,7,71.28571428571429,23.094444444444445
12536,0.5701831764509266,0.07765255539107756,12601.830000000002,3,87.0,42.9375
15555,0.5699106554292989,0.16713201758277743,12112.35,36,46.69444444444444,11.854861111111111
14735,0.5694171886303582,0.14913967729377103,12240.16,56,6.535714285714286,3.0284722222222222
14590,0.5691022805379036,0.0678295045798758,3006.62,20,10.2,424.03055555555557
12647,0.569074978285374,0.1550740820335977,17924.35,36,15.277777777777779,21.995833333333334
14051,0.5686198328558494,0.22551010472545127,22434.0,37,9.027027027027026,0.10416666666666667
14796,0.5680186538972967,0.13183800170360074,10889.64,27,57.51851851851852,0.8881944444444444
12451,0.5678465148467898,0.139537690793655,12669.88,8,63.875,10.17361111111111
16335,0.5674775859282866,0.037614533565569,2774.0,7,52.285714285714285,551.0520833333334
14194,0.5670705046027175,0.1971708382254148,18670.59,36,26.444444444444443,4.091666666666667
17306,0.5668757043594711,0.22471520819515303,9782.35,21,3.4285714285714284,10.025
17416,0.5666881811024911,0.13452642451574642,17298.45,22,27.136363636363637,29.002083333333335
17757,0.5659757735073413,0.1775149704318927,9422.45,56,23.392857142857142,0.8881944444444444
16308,0.5656702515815392,0.2383454534777459,5120.0,7,1.0,37.05972222222222
15601,0.5655950900176975,0.19519166968013124,14960.12,30,29.066666666666666,10.899305555555555
13031,0.565452384510273,0.03337022115711164,3419.27,5,87.0,406.8861111111111
13174,0.5653777492575371,0.018356219902769037,9494.84,12,94.33333333333333,15.927083333333334
15125,0.5652196149450184,0.12150824503635078,17024.87,24,10.0,24.95347222222222
15738,0.5651360164958,0.1665410631370639,13372.970000000001,41,12.097560975609756,18.183333333333334
14101,0.564882590975145,0.08745864383662554,9961.93,13,6.923076923076923,73.01527777777778
12949,0.5642351496545871,0.12396652780182595,15526.7,22,32.5,30.05902777777778
14543,0.5637039582704463,0.13006786701781992,14906.77,39,5.564102564102564,28.00347222222222
18231,0.5635720326050508,0.11371982579679978,6880.97,28,13.75,191.9388888888889
13935,0.5627171212234925,0.03924190117950861,6116.92,3,26.666666666666668,596.0618055555556
13137,0.5626018996097806,0.020630002456192495,7712.7,16,90.0625,10.028472222222222
15633,0.5622234168764294,0.010989173439328362,4352.46,13,13.615384615384615,508.9555555555556
14685,0.5620285655500841,0.016351001079306544,4619.79,8,24.375,575.9875
12477,0.5620010187431032,0.1705263386927974,20276.37,9,62.666666666666664,22.124305555555555
13097,0.5617611277606068,0.118729483312844,13389.22,28,36.32142857142857,32.08819444444445
15291,0.5617155625641889,0.12256828598037095,13846.56,40,6.15,25.075
16118,0.5615724230301331,0.04817938092796822,4376.25,1,41.0,652.1319444444445
15093,0.5614245339514319,0.1679834505262163,14326.11,23,14.434782608695652,17.986805555555556
14045,0.5609244834947922,0.02405522618945284,11313.029999999999,16,2.375,108.89097222222222
13178,0.5596606276861953,0.12197752122955631,14059.19,21,32.714285714285715,25.858333333333334
15464,0.5594935999565812,0.03408340151574332,1048.85,1,157.0,337.87083333333334
16501,0.5589425498512682,0.06669274272446712,1237.23,1,207.0,382.94444444444446
16360,0.5580954321415795,0.011382856231734009,3512.53,6,110.33333333333333,4.023611111111111
15880,0.5575510176641332,0.06182516776447553,686.5600000000001,1,210.0,368.99305555555554
16327,0.5571895276103246,0.07601244612816445,10731.34,16,59.1875,13.977083333333333
14866,0.557134973216331,0.20953585996571122,20850.22,19,7.2105263157894735,10.04513888888889
15382,0.5570227583119327,0.11774543821217968,13733.550000000001,12,52.666666666666664,14.077777777777778
13615,0.5566645138596614,0.020768578015101874,6272.53,8,45.875,318.18680555555557
13542,0.5565727408834429,0.04585128707541558,4006.17,17,19.823529411764707,376.0597222222222
15260,0.5560980737452405,0.04353770220767405,9188.23,25,15.92,99.95486111111111
15531,0.5554336508931744,0.011404907938211592,2007.44,2,114.0,7.754861111111111
15098,0.5547929541387383,1.0564440903345294,39916.5,3,1.0,181.88680555555555
13334,0.5547444341221633,0.0417634550796118,6263.75,5,96.0,81.8951388888889
17084,0.5545591102762262,0.023898674965567215,5202.97,3,98.0,34.91388888888889
18226,0.5542851246076421,0.07105367322946894,11878.88,26,20.307692307692307,43.96805555555556
17307,0.5536890086396946,0.024607717111793895,3999.8900000000003,11,4.363636363636363,394.96527777777777
17716,0.5528138462800443,0.12564863459682327,15956.97,24,25.041666666666668,22.03472222222222
16873,0.5526016242603529,0.13996713546782352,14617.39,12,42.666666666666664,4.03125
12607,0.5524298028562945,0.008773845877072872,1579.51,1,101.0,59.86388888888889
15911,0.5523039221074117,0.01751176071676813,1702.34,8,32.375,623.0305555555556
17706,0.5518209398398015,0.20622757681340534,20749.98,31,24.677419354838708,3.9694444444444446
14899,0.551802313910882,0.02453662905652638,1384.88,1,137.0,394.8958333333333
17337,0.551801545033212,0.040983915822523156,2027.8700000000001,4,135.75,150.91319444444446
16922,0.5517328621979252,0.024733494403895367,611.08,1,122.0,572.0597222222223
14535,0.5516143566659201,0.02400761521180733,6030.7300000000005,9,93.88888888888889,59.88263888888889
14249,0.5513155390181669,0.01653971731765242,5625.461,12,24.25,410.0111111111111
14415,0.5512730368936207,0.1022815819027668,12091.6,23,54.82608695652174,0.925
16274,0.5510418464824716,0.023191612456702784,715.9,1,134.0,372.8854166666667
13521,0.5509574739330414,0.016556667783818316,1093.65,3,145.33333333333334,0.9583333333333334
13263,0.5509446946361024,0.14098698295850493,8704.69,39,49.23076923076923,0.9520833333333333
17017,0.5508780548924689,0.18534874516194433,14110.61,29,14.620689655172415,2.1375
18051,0.5497647249100752,0.006203148771039211,2282.28,7,7.857142857142857,633.9527777777778
14456,0.549732535448992,0.009916494443218815,3062.4,9,107.77777777777777,4.952083333333333
13162,0.5493346514238862,0.01613205527405658,9275.49,16,14.875,121.86875
16795,0.5490699214993787,0.047157274732319794,2492.39,3,136.0,364.9458333333333
14417,0.5490220530937022,0.02330416303198118,604.2,1,137.0,387.0798611111111
17811,0.5489235554607437,0.13820176555105487,9609.8,47,25.148936170212767,3.9611111111111112
15915,0.5478978432996778,0.029365849613684186,429.21,1,146.0,401.0673611111111
15939,0.5475294326264074,0.014118388040645144,9060.39,16,10.0625,89.05555555555556
16782,0.5474739664264129,0.15572250508192811,10438.41,38,49.55263157894737,9.979166666666666
13488,0.547429569415476,0.12598076674224737,15587.88,23,31.47826086956522,16.922916666666666
17032,0.547229730506544,0.014243190298399176,3004.6,8,29.875,547.0236111111111
18092,0.5471078749636911,0.1563336629328974,16179.44,18,8.333333333333334,1.9833333333333334
13113,0.5470373598924088,0.15449417968379955,18625.73,37,10.594594594594595,0.0006944444444444445
17269,0.5466913611529572,0.029207545097680542,537.46,1,146.0,385.06805555555553
13044,0.5460621876530326,0.01198341154254405,4853.9,11,38.09090909090909,290.8958333333333
16923,0.5460601508808975,0.13395743942480023,13378.36,32,35.375,11.993055555555555
17133,0.546026892639727,0.12568649388454498,14622.33,12,4.666666666666667,15.015972222222222
13446,0.5458475633145516,0.005929040701960819,3881.89,11,17.454545454545453,429.74930555555557
17976,0.5458258860804489,0.0223433054956538,706.38,1,130.0,371.9590277777778
15538,0.5456865208451944,0.011263214085380354,3358.3999999999996,6,2.3333333333333335,537.0840277777778
15710,0.545077509665897,0.011696850357837534,898.87,1,110.0,416.8229166666667
14093,0.5448694754977982,0.016323219064514914,442.85,1,105.0,11.849305555555556
15547,0.5447369294382064,0.12189780628766973,10154.39,26,52.23076923076923,6.998611111111111
16191,0.5447059855388716,0.1650415949339234,15688.02,24,9.708333333333334,2.058333333333333
13629,0.5445089535878599,0.07344647521888427,13370.86,19,4.578947368421052,22.978472222222223
15015,0.5435461772763323,0.02335966040938747,2365.02,13,22.76923076923077,500.9583333333333
15044,0.5434743146073748,0.1377150070871038,16204.33,35,26.142857142857142,18.979166666666668
14040,0.5433683964844069,0.10576940412826195,12645.57,35,22.685714285714287,40.00555555555555
14961,0.5430285885878172,0.14098570074375902,16410.15,22,30.454545454545453,10.130555555555556
15995,0.5424265593754527,0.014324269731369922,696.19,1,111.0,413.9534722222222
13734,0.5423253475323726,0.028665132787715864,6701.640000000001,4,7.0,508.03194444444443
13324,0.5420876138808847,0.057548818516981036,10513.47,18,7.333333333333333,35.84861111111111
12437,0.541825366745094,0.12972383018979863,12683.4,39,14.435897435897436,1.0520833333333333
13854,0.5418109576159056,0.10390033671478316,12253.96,39,4.641025641025641,8.155555555555555
17059,0.5417550717137616,0.017689017188591036,5602.53,9,93.44444444444444,29.01597222222222
18041,0.5416948894385649,0.13707980205845346,8752.38,38,25.263157894736842,11.049305555555556
17914,0.5415611156924779,0.015540228161372023,336.43,1,80.0,3.036111111111111
12539,0.5415367996047554,0.04784339164672862,11214.75,7,72.0,21.97222222222222
12989,0.5414183048355818,0.13386500576808125,13551.75,33,2.9393939393939394,2.890277777777778
13969,0.5412214456041986,0.13289631456697,13365.87,35,31.6,6.902083333333334
12843,0.5408119882027581,0.06486097772269606,6588.41,30,7.366666666666666,65.02847222222222
12557,0.540632680588923,0.16918448172928358,18716.14,8,7.25,15.827083333333333
14560,0.5402807760504471,0.12402677070137531,6114.03,44,4.545454545454546,6.894444444444445
12758,0.5401712906716142,0.06544327579118488,9903.24,7,44.714285714285715,116.10277777777777
12965,0.5400126022585786,0.008798219386220885,771.91,1,109.0,88.88819444444445
17160,0.5395420891294611,0.09721189927991496,10209.16,17,38.294117647058826,30.947916666666668
12454,0.5395408263466023,0.1601643315278253,16679.78,5,8.0,55.81736111111111
12567,0.539418000032849,0.08190535882067039,13709.86,15,42.6,22.075
16558,0.539291565365908,0.1324820462759877,13873.51,38,20.526315789473685,0.10416666666666667
17068,0.5382337729504392,0.13710629612734196,9161.08,47,21.78723404255319,11.983333333333333
13050,0.5381847112740209,0.13497298388697931,12344.53,35,28.82857142857143,14.147222222222222
17602,0.5380231996905932,0.04135834277514636,7451.13,14,66.21428571428571,1.95625
13553,0.5379992040463619,0.022720432545799595,517.8,1,94.0,674.0201388888889
16161,0.5379778652838048,0.13088331825911353,12831.8,43,26.930232558139537,1.0277777777777777
15332,0.5372953244213404,0.018759865953761723,6553.74,6,31.5,365.9215277777778
15222,0.5371952620395587,0.013311159725283355,3550.91,11,12.545454545454545,318.19930555555555
13042,0.5366907902515851,0.02373035277823222,1556.54,3,66.33333333333333,597.9631944444444
17364,0.536081504784867,0.12347517712889088,12070.42,28,32.857142857142854,0.1597222222222222
15444,0.5359391415184682,0.0106999427875143,1418.26,2,109.5,8.800694444444444
14675,0.5359130149261919,0.009964477455910729,1066.9,2,120.0,15.994444444444444
13004,0.5356041438927327,0.1441330491855165,11650.85,36,22.63888888888889,11.057638888888889
17614,0.5355684733252627,0.009746089089957118,390.07,1,100.0,56.86736111111111
16701,0.5351940918877741,0.1642750439344311,9916.73,26,10.576923076923077,8.069444444444445
13337,0.5351911898311918,0.012942201691340575,1575.26,1,87.0,545.9743055555556
16007,0.5349935346208334,0.021529266042092612,3075.14,7,95.14285714285714,47.072916666666664
16340,0.5344816250377024,0.021126181591140533,1526.06,3,125.66666666666667,106.91458333333334
16125,0.5336555680632069,0.02174114749771314,4587.65,14,21.5,366.87638888888887
13225,0.5336430909892321,0.1305354963689459,16260.07,16,7.8125,2.972916666666667
15874,0.5336225070756334,0.02345118761792327,11284.76,21,16.285714285714285,63.013194444444444
17625,0.5334889900305578,0.01653954278856111,6067.8,8,87.875,17.968055555555555
16919,0.533488645395228,0.09640948358073813,5125.91,24,26.666666666666668,155.96875
